index,premise,hypothesis,concatenation_spectral_k2,concatenation_gmm_k2,concatenation_hierarchical_k2,concatenation_spectral_k3,concatenation_gmm_k3,concatenation_hierarchical_k3,concatenation_spectral_k4,concatenation_gmm_k4,concatenation_hierarchical_k4,concatenation_spectral_k5,concatenation_gmm_k5,concatenation_hierarchical_k5,concatenation_spectral_k10,concatenation_gmm_k10,concatenation_hierarchical_k10,semantic_coherence_spectral_k2,semantic_coherence_gmm_k2,semantic_coherence_hierarchical_k2,semantic_coherence_spectral_k3,semantic_coherence_gmm_k3,semantic_coherence_hierarchical_k3,semantic_coherence_spectral_k4,semantic_coherence_gmm_k4,semantic_coherence_hierarchical_k4,semantic_coherence_spectral_k5,semantic_coherence_gmm_k5,semantic_coherence_hierarchical_k5,semantic_coherence_spectral_k10,semantic_coherence_gmm_k10,semantic_coherence_hierarchical_k10
1480,"A man in a blue swimsuit and a red beanie kneels in the wet sand on the edge of a beach, making a sand castle that is as tall as he is when he is kneeling.",A man is in a snowstorm,0,1,0,1,1,1,1,1,0,0,1,0,8,8,0,0,0,1,0,2,1,0,2,1,0,2,4,7,6,9
1481,A skinny brown dog walks across a large piece of fallen tree.,A cat lickes cream off his owner's plate.,1,1,1,0,2,0,3,2,3,3,4,3,7,3,3,0,0,1,0,2,1,0,2,1,0,4,4,7,2,4
1482,Two little kids are walking in heavy winter coats down a sidewalk.,the kids are warm and cozy tucked in bed for the night,0,0,1,2,0,0,2,0,1,4,2,4,0,7,8,0,0,0,2,0,0,2,0,0,2,0,1,5,8,7
1483,A man with a beard holding an infant,The baby is crawling.,0,1,1,1,1,0,2,1,1,4,2,4,0,2,9,0,0,0,0,0,0,0,3,0,0,3,1,7,3,5
1484,An asian man is wearing a kimono while practicing his martial arts with a fellow colleague.,Nobody is practicing,0,0,0,2,0,1,0,0,0,2,0,0,9,5,2,0,0,1,0,2,1,0,2,1,0,4,4,7,2,4
1485,A man is standing on top of a tall building that overlooks the city.,A man is sitting in his house.,0,1,0,1,1,1,1,1,0,0,1,0,1,8,0,0,0,1,0,2,1,0,2,1,0,4,4,7,6,4
1486,A small dog running on a beach.,A St. Bernard is flying near the ocean.,1,1,1,0,2,0,3,2,3,3,4,3,5,3,3,1,1,0,1,0,0,1,3,3,1,3,3,2,9,3
1487,two young girls fly a kite.,One lonely teen girl plays with a puppet.,0,0,1,2,2,0,2,3,1,4,2,4,2,7,8,0,0,0,0,0,0,0,0,0,0,4,0,6,5,6
1488,A man is slicing tomatoes on a cutting board on top of a table.,A man is slicing ham.,0,1,0,1,1,1,1,1,0,0,1,0,1,8,0,0,1,0,0,0,0,0,3,0,0,2,0,7,1,0
1489,A middle-aged African-American man wearing a baseball cap and an unbuttoned blue and white plaid shirt was leaning on something near a street.,The middle-aged man was standing straight with his hands in his pockets.,0,1,0,1,1,1,1,1,0,0,1,0,1,8,0,0,0,1,0,2,1,0,2,1,0,2,4,7,6,9
1490,An Asian woman is brushing her teeth in front of a mirror.,a woman eating chocolate,0,1,0,1,2,1,1,3,0,0,3,0,2,4,0,0,0,1,0,0,1,0,0,1,0,0,4,1,8,4
1491,Five white dogs with muzzles are running towards the camera.,Dogs are sleeping,1,0,1,0,0,0,3,2,3,3,4,3,4,3,3,1,0,0,1,0,0,1,0,3,3,4,3,3,8,3
1492,A artist painting the wall covered in bamboo.,a hooligan graffitis a wall,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,2,0,3,2,0,3,2,1,1,2
1493,"A woman wearing a white shirt, tan pants, and boots is standing beside a vendor cart that contains various beverages.",The woman is sleeping in her bedroom.,0,1,0,1,2,1,1,3,0,0,3,0,1,9,2,0,0,1,0,2,1,0,2,1,0,4,4,7,2,9
1494,A man wearing a green t-shirt sits with his legs on a ledge and talks on the phone.,A woman calls her mother.,0,1,0,1,2,1,1,3,0,0,3,0,2,4,0,0,0,1,0,2,1,0,2,1,0,4,4,7,2,4
1495,"A man, wearing a short pink skirt, long striped socks, a pink tank top, and a hairnet, is juggling knives to the amusement of onlookers.",Preparing for church,0,1,0,1,1,2,0,1,2,2,1,2,9,1,1,0,0,1,0,2,1,0,2,1,0,4,4,7,2,4
1496,A smiling child sitting in a restaurant at the table.,A grumpy child throws a toy across the room.,0,1,0,1,2,1,2,1,0,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,1,1,8,5
1497,A man in a yellow shirt is trying to perform a trick on a bicycle.,A man driving a car down a dirt road.,0,1,0,1,1,1,1,1,0,0,1,0,8,1,0,0,0,1,0,2,1,0,2,1,0,2,4,7,6,9
1498,A man in a red safety hat stands in an orange lift while placing a giant arm on a statue.,A man is painting a picture.,0,1,0,1,1,1,1,1,0,0,1,0,1,8,0,0,0,0,0,0,0,0,3,0,0,2,0,7,6,0
1499,"Little boy in a black hockey sweater, racking in a dirt yard.",The boy is sitting at his laptop.,0,1,1,1,1,0,2,1,1,4,2,4,0,2,9,0,0,0,0,0,0,0,2,0,0,3,1,0,3,5
1500,A woman in a multicolored shirt makes a hammock.,The old man sat on the boat.,0,1,0,1,2,1,1,3,0,0,3,0,1,9,0,0,0,1,0,2,1,0,2,1,0,4,4,7,2,4
1501,A man wearing glasses holds a flip phone in his hand while a woman wearing earrings stands behind him.,The woman is standing far away from the man.,0,1,0,1,2,1,0,3,0,2,3,0,9,9,0,0,0,1,0,2,1,0,2,1,0,4,4,7,8,4
1502,A man wearing a blue uniform working on mechanics.,A man is ballroom dancing.,0,1,0,1,1,1,1,1,0,0,1,0,1,8,0,0,0,1,0,2,1,0,2,1,0,2,4,7,6,9
1503,A brown dog has a white toy in its mouth.,A cat with its tail under a rocking chair.,1,1,1,0,2,0,3,2,3,3,4,3,7,3,3,0,0,1,0,0,1,0,2,1,0,4,4,7,9,4
1504,Person is carrying a large plank near a body of water while the sun is low in the sky.,A person is laying down watching the sun set.,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,1,2,0,1,2,0,3,2,1,7,2
1505,A brown boat is packed with goods and people.,A car is full of goods.,0,1,0,1,2,1,0,0,0,2,0,0,9,6,0,0,1,0,0,1,2,0,3,2,0,0,2,1,3,2
1506,The little girl with the white hat and white shirt is painting.,The hat is red.,0,1,0,1,2,1,1,3,0,0,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0
1507,A man playing a plastic flute while a seagull looks on.,"A man practices the bagpipes on the beach, scattering a flock of seagulls with the awful noise.",0,1,0,1,1,2,1,1,2,0,1,2,6,1,4,0,1,0,0,1,2,0,1,2,0,1,2,7,7,2
1508,Two children dressed in red looking at a red train engine,children at home asleep,0,0,1,2,0,0,2,0,1,4,2,4,0,7,8,0,0,0,2,0,0,2,0,0,2,0,1,5,8,7
1509,A boy wearing a helmet on a bicycle in a wooded area.,A boy burning ants with his magnifying glass.,0,1,1,1,1,0,2,1,1,4,2,4,0,2,9,0,0,0,0,0,0,0,0,0,0,3,1,0,8,5
1510,An individual in black and white clothing and a mask is in the foreground of a group of children.,Nobody is wearing a mask.,0,1,0,2,0,1,0,1,0,2,2,0,9,5,2,0,0,1,0,2,1,0,0,1,0,4,4,7,3,4
1511,a street vendor serving food to his customers.,The street vendor is selling balloons.,0,1,0,1,1,1,1,1,0,0,1,0,2,1,0,0,1,0,0,1,2,0,1,2,0,1,2,1,7,2
1512,Woman trying to punch man.,A woman hugging her child.,0,1,0,1,2,1,1,3,0,0,3,1,2,4,5,0,0,1,0,0,1,0,0,1,0,0,4,1,3,4
1513,Two children jump up and down in a water puddle.,The children have not a drop of water on them.,0,0,1,2,0,0,2,0,1,4,2,4,0,7,8,0,1,0,2,0,0,2,0,0,2,0,1,5,3,7
1514,A married couple walk up flights of old stone stairs.,They are going down to the basement.,0,0,0,2,0,1,0,0,0,2,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,8
1515,A brown and white dog is jumping high and catching a blue ball.,The dogs are both black.,1,0,1,0,0,0,3,2,3,3,4,3,5,3,3,1,0,0,1,0,0,1,0,3,0,0,3,7,8,3
1516,"A woman, in an apron, is standing over her sink.",A woman is sitting down knitting in her kitchen,0,1,0,1,2,1,1,3,0,0,3,0,2,9,0,0,0,0,0,0,2,0,3,2,0,0,2,1,3,2
1517,A boy windsurfs in a wetsuit while giving a thumbs up sign.,A man in a suit is giving a presentation.,0,1,0,1,1,1,1,1,0,0,1,0,1,8,0,0,0,1,0,2,1,0,2,1,0,4,4,7,2,4
1518,A man watching as one woman in a brown coat is talking to another woman in a gray coat.,Two women sunbathe on the beach,0,0,0,2,0,2,0,0,2,2,3,2,2,9,1,0,0,1,0,2,1,0,0,1,0,4,4,1,8,4
1519,Two Islamic women are making purchases at a large warehouse.,Two women are made from stone.,0,0,0,2,0,1,0,0,0,2,3,1,2,9,5,0,0,1,0,0,1,0,0,1,0,0,4,1,8,4
1520,A man riding a horse and leading other horses through beautiful scenery.,a woman riding a man,0,1,0,1,0,1,1,0,0,0,3,0,1,1,0,0,0,1,0,2,1,0,2,1,0,4,4,1,3,4
1521,A man smiling with a helmet on his head.,A man is frowning.,0,1,0,1,1,1,1,1,0,0,1,0,1,8,0,0,0,1,0,2,1,0,2,1,0,4,4,7,6,9
1522,A man is seemingly running with only one snow ski on.,A lady skis effortlessly.,0,1,0,1,2,1,1,3,0,0,3,0,8,1,0,0,1,0,0,0,2,3,3,2,4,3,2,4,3,2
1523,A couple kissing on the train station platform.,A couple is riding on the train together.,0,0,0,2,0,2,0,0,2,2,0,2,9,6,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
1524,A chef in a white uniform mixes popcorn with a large wooden utensil.,A chef is preparing a fresh squid risotto.,0,1,0,1,1,1,1,1,0,0,1,0,2,8,0,0,1,0,0,0,2,0,3,2,0,3,2,1,3,2
1525,A baby girl in a light blue and pink dress leaning on a stone platform outdoors.,The girl is sleeping inside.,0,1,0,1,2,1,2,3,0,4,2,1,2,5,6,0,0,0,0,2,0,0,2,0,0,4,0,6,4,6
1526,A woman wearing a red coat begins to take a picture.,The woman is throwing pebbles into the water.,0,1,0,1,2,1,1,3,0,0,3,1,2,9,5,0,0,1,0,2,1,0,2,1,0,4,4,7,8,4
1527,A girl is doing a trick on a blue trampoline and is in the air.,A girl goes for a run with her dog in the park.,0,1,0,1,2,1,2,3,0,4,3,1,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,6,5,1
1528,a young man with a black striped shirt on skateboarding on a wall.,A young man with a blue shirt on is sitting by the wall.,0,1,0,1,1,1,1,1,0,0,1,0,1,8,0,0,1,0,0,1,2,0,3,2,0,3,2,7,1,2
1529,A boy is standing next to a car in front of a clothesline.,The kid is in a movie theater.,0,1,1,1,1,0,2,1,1,4,2,4,0,2,9,0,0,1,0,2,1,0,2,1,0,4,4,0,2,4
1530,A woman is sitting at a table waiting to tell a customer's fortune.,A skiier crashes into a tree.,0,1,0,1,2,2,1,3,2,0,3,2,1,4,1,0,0,0,0,2,0,0,2,0,0,4,0,7,2,0
1531,A pretty girl is working at a stand on a bright sunny day.,The girl is working on a rainy day.,0,1,0,1,2,1,2,3,0,4,3,1,2,4,6,0,1,0,0,1,0,0,1,0,0,0,0,6,5,6
1532,A young woman with red highlights in her hair is applying eyeshadow with a Q-tip in front of a mirror.,A man is shaving in the mirror.,0,1,0,1,1,1,1,1,0,0,1,0,1,8,0,0,0,0,0,0,2,0,3,2,0,0,2,1,3,2
1533,"An African-American man wearing a purple shirt, white shoes and blue jeans is playing a saxophone while standing inside of a building which has many archways and a red and gray tiled floor.",A man is driving a car.,0,1,0,1,1,1,1,1,0,0,1,0,1,8,0,0,0,1,0,2,1,0,2,1,0,4,4,7,6,9
1534,"A girl with wet hair wearing swim goggles and a striped bathing suit, sitting on an inflatable float in the water.",The girl is inside the trash can.,0,1,0,1,2,1,2,3,0,4,2,1,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,6,5,6
1535,Two men are singing and playing guitars outside a cement structure with spectators sitting on steps on their left.,Two men are on a train.,0,0,0,2,0,2,0,0,2,2,0,2,9,0,1,0,0,0,0,2,0,0,0,0,0,4,0,1,8,0
1536,A man is outside standing on sand with a bright blue sky around him.,the woman is indoors,0,1,0,1,2,1,1,3,0,0,3,0,2,4,0,0,0,1,0,2,1,0,2,1,0,4,4,7,2,4
1537,Two women reading in the shade.,The women are sleeping on the grass.,0,0,0,2,0,1,0,0,0,2,3,0,2,9,2,0,0,0,0,0,2,0,0,2,0,0,2,1,8,2
1538,"Many people are in the bicycle racing, including one man in a three-wheeled bike.",A bunch of cars race around a track.,0,0,0,2,0,1,0,0,0,2,0,0,9,6,0,0,1,0,0,0,0,0,3,0,0,0,0,1,3,0
1539,"A crowd of children in white shirts, black shorts and white hats jumping rope.",A group of adults playing with a jump rope.,0,0,0,2,0,2,2,0,2,4,0,2,0,7,7,0,1,0,2,1,2,2,1,2,2,1,2,5,0,2
1540,Telephone wires are visible.,The post and its' contents are covered.,0,1,0,1,0,2,1,0,2,0,0,2,1,1,1,0,0,1,0,2,1,0,2,1,0,4,4,7,2,4
1541,"A man wearing a long white robe and a white cap, stands over a group of seated people.",The man was seated at the back of the room,0,1,0,1,1,1,1,1,0,0,1,0,1,8,0,0,0,1,0,0,1,0,3,1,0,2,4,7,6,4
1542,A woman wearing a burgundy shirt and a man wearing black prepare a tray of cups of wine,The woman eats superman's cloak,0,1,0,1,2,1,0,3,0,2,3,0,2,9,0,0,0,1,0,2,1,0,2,1,0,4,4,7,8,4
1543,"Two people in colorful clothes are standing in a field, bent over to look at the ground.",The people are stopped in a parking lot.,0,0,0,2,0,2,0,0,2,2,0,2,9,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,8
1544,"Group of people holding umbrellas, while walking in the rain.",The group of people are outside on a sunny day.,0,0,0,2,0,2,0,0,2,2,0,2,9,6,1,0,1,0,0,0,2,0,0,2,0,0,2,1,0,2
1545,A man in a hat is steering a boat while a passenger reads the paper.,A passenger assists a man in steering a boat.,0,1,0,1,1,2,1,1,2,0,1,2,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,7,5
1546,Gold and white dog catching a tennis ball in its mouth.,A dog drinking from a river.,1,1,1,0,2,0,3,2,3,3,4,3,5,3,3,1,0,0,1,0,0,1,3,3,1,3,3,2,9,3
1547,A baseball player is on the field in fronmt of an audience.,Fans crowd around the player to get his autograph.,0,1,0,2,1,2,2,1,2,1,1,2,3,1,7,0,1,0,0,0,0,0,3,0,0,0,0,9,3,0
1548,Two men with no shirts are on a rooftop.,A young lady is vaccuuming the carpet indoors.,0,1,0,1,2,1,1,3,0,0,3,0,2,4,0,0,0,1,0,2,1,0,2,1,0,4,4,7,2,4
1549,"A balding man in a pink shirt who is holding a basket is waiting in a line, outside of an establishment.",A man is eating pudding at home.,0,1,0,1,1,1,1,1,0,0,1,0,1,8,0,0,0,1,0,2,1,0,2,1,0,4,4,7,2,4
1550,Old woman missing teeth stands with metal object in hand.,The young man is playing basketball.,0,1,0,1,1,1,1,1,0,0,1,0,1,8,0,0,0,1,0,2,1,0,2,1,0,4,4,7,2,4
1551,its a distorted lens (almost fish eye) of a teenage boy skateboarding on a concrete block.,The boy is practicing the piano in the living room.,0,1,1,1,1,0,2,1,1,4,2,4,0,2,9,0,0,1,0,2,1,0,2,1,0,4,4,7,2,4
1552,"Two young boys with no shirt on, wearing shorts, and blue Crocs on a rock.",Two boys are in a rock.,0,0,1,2,0,0,2,0,1,4,2,4,0,7,8,0,1,0,2,1,0,2,1,0,2,1,1,5,7,7
1553,Several children standing in front of a building.,A couple of children are in a ball pit at the park.,0,0,1,2,0,0,2,0,1,4,2,4,0,7,8,0,0,0,2,0,0,2,0,0,2,0,1,5,3,7
1554,Two men on a motorcycle with buckets and canisters.,The men are riding a camel.,0,0,0,2,0,1,0,0,0,2,0,0,9,0,0,0,0,1,0,0,1,0,0,1,0,0,4,1,8,4
1555,Two motorcyclist racing on an inclined track.,Two motorcyclists are standing near their bikes.,0,0,0,1,0,1,1,0,0,0,0,0,8,0,0,0,1,0,0,1,0,0,1,0,0,0,0,8,0,0
1556,"Two guys working out on a heavy bag, one is wearing a white shirt and the other a gray shirt.",Nobody is working out,0,0,0,2,0,1,0,0,0,2,0,0,9,5,2,0,0,1,0,0,1,0,0,1,0,0,4,1,3,4
1557,A young man in a red shirt dries a white car with two cloths.,The man in the red shirt is driving a car on the highway.,0,1,0,1,1,1,1,1,0,0,1,0,1,8,0,0,0,1,0,0,1,0,3,1,0,2,4,7,6,4
1558,A man kisses a bride as they walk down the street.,A bride tried to eat her husband.,0,1,0,2,2,2,0,3,2,2,3,2,9,6,1,0,0,0,0,0,0,0,3,0,0,0,0,1,3,0
1559,A mountaineer sits in the snow in front of a yellow tent under clear blue sky.,a guy has a blue tent.,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,1,2,0,1,2,0,3,2,7,1,2
1560,A man is putting up a poster in front of a shop.,The man is indoors.,0,1,0,1,1,1,1,1,0,0,1,0,1,8,0,0,0,0,0,0,0,0,3,0,0,2,0,7,6,0
1561,Three young children are covered in foam.,A horse is walking near a school house.,0,0,0,2,0,2,2,0,2,4,2,2,0,7,1,0,0,0,0,2,0,0,2,0,0,4,0,7,2,8
1562,A white and black bird stretches its wings in midair.,A multi colored bird is swimming in the lake.,1,1,0,0,2,1,3,2,0,3,4,0,5,3,0,1,0,0,1,0,0,1,3,0,1,0,0,2,3,0
1563,A brown and white dog is running.,A brown and white dog is sleeping.,1,1,1,0,2,0,3,2,3,3,4,3,5,3,3,1,1,0,1,1,0,1,3,3,1,3,3,2,9,3
1564,Two men in black shirts play Guitar Hero.,a couple of guys are playing outdoors,0,0,0,2,0,2,0,0,2,2,0,2,9,0,4,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
1565,A skateboarder jumping on a graffiti-covered ramp.,the dog eats shrimp,0,1,0,1,2,1,1,1,0,0,1,0,1,1,0,0,0,1,0,2,1,0,2,1,0,4,4,7,2,4
1566,Two young girls are building wooden toys at a table.,Three boys are in a field kicking a ball.,0,0,1,2,0,0,2,0,1,4,2,4,9,7,8,0,0,1,0,2,1,0,2,1,0,4,4,7,2,4
1567,A group of people talking and one man is looking at his laptop.,"The group are sitting quietly, reflecting on something that just happened.",0,0,0,2,0,2,0,0,2,2,0,2,9,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,8
1568,A young Asian man sits behind a set chessboard waiting for the other player to arrive.,A young man is on Mars.,0,1,0,1,1,1,1,1,0,0,1,0,1,8,0,0,0,1,0,2,1,0,2,1,0,4,4,7,6,4
1569,A person is jumping using rollerblades.,The person is riding a horse.,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,4,0,1,8,0
1570,A skateboarder jumps off his skateboard in midair in hopes of landing back on it.,Girl jumps off bike to perform tricks,0,1,0,1,2,1,1,3,0,0,2,0,8,1,0,0,1,0,0,0,2,0,3,2,0,3,2,8,5,2
1571,Someone is riding a motorcycle down a racetrack during daylight hours.,Someone is riding a bike at night.,0,1,0,1,1,1,1,1,0,0,1,0,8,1,0,0,1,0,0,1,0,0,1,0,0,3,0,8,7,0
1572,Young boy dressed in green holds baby goat in arms.,A boy is holding a baby deer.,0,1,0,1,1,1,2,1,0,4,2,0,0,2,0,0,1,0,0,1,0,0,1,0,0,3,1,0,7,5
1573,Men are standing around looking at a red and white race car.,A group of men and women chat over afternoon tea.,0,0,0,2,0,2,0,0,2,2,0,2,9,6,1,0,0,1,0,2,1,0,0,1,0,4,4,1,8,4
1574,A young man with a red uniform on practicing his soccer kick.,A young woman is practicing her basketball skills,0,1,0,2,2,1,2,3,0,4,3,0,2,4,0,0,1,0,0,0,0,0,3,0,0,3,0,1,3,0
1575,Two female cyclists kissing each other.,A man is reading a book.,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,2,1,0,2,1,0,4,4,7,2,4
1576,what appears to be a group of men removing ice from a barrel.,A woman does a keg stand.,0,1,0,1,2,1,1,3,0,0,3,0,1,4,0,0,0,1,0,2,1,0,2,1,0,4,4,7,2,4
1577,A dog is going through a slalom style obstacle course.,The dog is sleeping.,1,1,1,0,2,0,3,2,3,3,4,3,5,3,3,1,0,0,1,2,0,1,2,3,1,4,3,2,9,3
1578,A young girl dances while the band plays.,a dog is chasing his tail.,0,1,0,1,2,1,2,2,0,4,4,0,2,3,0,0,0,1,0,2,1,0,2,1,0,4,4,7,2,4
1579,The couple is sitting near the water in lawn chairs.,People are walking on the grass.,0,0,0,2,0,2,0,0,2,2,0,2,9,6,1,0,0,0,0,0,2,0,0,2,0,0,2,1,8,2
1580,One of the members of KISS playing a white electric guitar in front of a black background.,The background was white.,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,2,0,3,2,0,0,2,1,3,2
1581,A boy doing a back flip into a swimming pool.,A boy sleeps in his bed.,0,1,0,1,1,1,2,1,0,4,2,0,0,2,2,0,0,1,0,2,1,0,2,1,0,4,4,0,4,4
1582,A young boy sits next to a wind sculpture.,A boy sits next to a statue of a dog.,0,1,0,1,1,1,2,1,0,4,2,0,0,2,0,0,1,0,0,1,0,0,1,0,0,1,1,0,7,5
1583,Man sitting inside of a van looking out the window.,a woman looks out a window,0,1,0,1,2,1,1,3,0,0,3,1,2,4,5,0,1,0,0,0,0,0,3,0,0,3,0,7,3,0
1584,"In the background, there are 3 people on the shore among several canoes, and the young man in the foreground is paddling through the water, while wearing a life jacket and smiling.",A group of people white water rafts down a raging river.,0,0,0,2,0,2,0,0,2,2,0,2,9,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
1585,One dog biting at another dog's face in a grassy field.,Two dogs are cuddling each other in a grass field.,1,0,1,0,0,0,3,2,3,3,4,3,4,3,3,1,1,0,1,1,0,1,1,3,3,1,3,3,7,3
1586,"Two dark-haired people are seated on a bench reading magazines, and looking around.",two people are dancing,0,0,0,2,0,2,0,0,2,2,0,2,9,6,4,0,0,0,0,2,0,0,0,0,0,4,0,1,8,8
1587,Some men wearing formal clothes stand around a wedding cake.,the women are by the cake,0,0,0,2,0,1,0,0,0,2,0,0,9,0,0,0,1,0,0,1,2,0,1,2,0,1,2,1,0,2
1588,There is a blond female office and a male brown headed officer standing in front of a pole talking.,The two officers are putting a suspect in their squad car.,0,0,0,2,0,2,0,0,2,2,0,2,9,0,1,0,0,1,0,2,1,0,2,1,0,4,4,7,2,4
1589,A man in blue pants is jumping while band plays music.,A man plays world of warcraft in silence,0,1,0,1,1,1,1,1,0,0,1,0,1,8,2,0,0,1,0,2,1,0,2,1,0,4,4,7,6,9
1590,Two little dogs are lying on the green grass and a larger dog looks down on them.,"A trio of alley cats is lined up along the fence, yowling at the moon.",1,0,1,0,0,0,3,2,3,3,4,3,4,3,3,0,0,0,0,0,0,0,0,3,0,0,3,1,3,3
1591,A slim woman is walking a wet street holding a red umbrella.,A woman jogs a street with umbrellas.,0,1,0,1,2,1,1,3,0,0,3,1,2,4,5,0,1,0,0,1,2,0,1,2,0,1,2,1,7,2
1592,A child plays with a toy on a playground.,a man is at a playground,0,1,1,1,1,0,2,1,1,4,2,4,0,2,9,0,1,0,0,1,0,0,1,0,0,1,1,0,7,5
1593,"A man is holding a large, water-spraying hose while another man watches.",A man is writing a letter alone.,0,1,0,1,1,1,1,1,0,0,1,0,1,8,0,0,0,1,0,2,1,0,2,1,0,4,4,7,2,4
1594,Two people standing on the curve looking at people run up the street.,Two people sipping tea on a couch.,0,0,0,2,0,2,0,0,2,2,0,2,9,6,1,0,0,1,0,2,1,0,0,1,0,4,4,1,8,4
1595,A boy wearing a knit cap is laying the grass.,the boy is running and playing,0,1,1,1,1,0,2,1,1,4,2,4,0,2,9,0,1,0,0,0,0,0,3,0,0,3,1,0,3,5
1596,A dog is jumping over a hurdle.,The dog is sitting under a tree.,1,1,1,0,2,0,3,2,3,3,4,3,5,3,3,1,0,0,1,2,0,1,2,3,1,4,3,2,8,3
1597,A black dog running in grass.,The black dog is taking a bath.,1,1,1,0,2,0,3,2,3,3,4,3,5,3,3,1,1,0,1,0,2,1,3,2,0,3,2,7,3,2
1598,Two policemen in yellow and black uniforms are riding bikes.,Policemen relaxing in a restaurant.,0,0,0,2,0,1,0,0,0,2,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0
1599,A female dressed in a peace-sign patterned coat and goggles is standing outside in the snow.,The girl is playing a computer game on the couch.,0,1,0,1,2,1,1,3,0,4,3,0,2,4,2,0,0,0,0,2,0,0,2,0,0,4,0,7,2,1
1600,"A child in a blue shirt sitting on a forest floor, looking through binoculars.",A child is in a red shirt,0,1,1,1,2,0,2,1,1,4,2,4,0,2,9,0,1,0,0,0,0,0,3,0,0,3,1,1,3,5
1601,A woman in a black long-sleeve shirt runs a fruit and vegetable stand.,The woman is running a magazine stand.,0,1,0,1,2,1,1,3,0,0,3,1,2,9,5,0,1,0,0,0,2,0,0,2,0,0,2,1,3,2
1602,There is staging and men working on platform 2 at the Burnt Oak underground stop.,There is staging and men working on their autobiographies.,0,0,0,2,0,2,0,0,2,2,0,2,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8
1603,Two young boys are climbing over the seat in a vehicle.,Two boys standing near a car,0,0,1,2,0,0,2,0,1,4,2,4,0,7,8,0,1,0,2,0,0,2,3,0,2,3,1,5,3,7
1604,Three policemen are on horses.,The men are sitting on a chair.,0,0,0,2,0,2,0,0,2,2,0,2,9,0,1,0,0,0,0,0,2,0,0,2,0,0,2,1,3,2
1605,A man standing on scaffolding next to a white ladder and a burning bin.,A woman combing her hair.,0,1,0,1,2,1,1,3,0,0,3,0,2,4,0,0,0,1,0,2,1,0,2,1,0,4,4,7,2,4
1606,Adult man holds toddler.,A man carries groceries.,0,1,0,1,1,2,1,1,2,0,1,2,1,8,1,0,0,1,0,2,1,0,2,1,0,2,4,7,6,9
1607,Musicians playing their instruments at a table.,The musicians did not have their instruments.,0,0,0,2,0,2,0,0,2,2,0,2,6,5,4,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
1608,Dark nightclub with chairs.,The bouncers escorted a belligerent patron from the bar.,0,0,0,2,0,2,0,0,2,2,0,2,9,6,1,0,0,1,0,0,1,0,0,1,0,4,4,1,3,4
1609,Kids are driving toy carts around a track with the assistance of parents.,Parents are ignoring the kids.,0,0,1,2,0,0,2,0,1,4,2,4,0,7,8,0,0,0,2,0,0,2,0,0,2,0,1,5,3,7
1610,A woman is sitting at a table with raw meat.,The woman gets ready to eat her cooked steak dinner.,0,1,0,1,2,1,1,3,0,0,3,0,2,4,0,0,1,0,0,1,0,0,3,0,0,0,0,1,3,1
1611,Some people are playing in a field next to a net.,The people are dead.,0,0,0,2,0,2,0,0,2,2,0,2,9,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,8
1612,A child is trying to keep from falling off of a sheep in the rodeo ring.,The child is riding a horse.,0,1,0,1,2,1,1,1,0,0,2,0,1,2,0,0,1,0,0,0,0,0,3,0,0,3,1,1,3,5
1613,Four school aged kids are playing dodgeball in the gym,Kids are playing scocer.,0,0,0,2,0,2,2,0,2,4,2,2,0,7,7,0,0,1,2,0,1,2,0,1,2,0,4,5,3,4
1614,Two children in their pajamas one has a mask and hairnet like a surgical nurse and is standing over the older child who is laying down on the wood floor.,the children are wearing business suits,0,0,0,2,0,2,2,0,2,4,2,2,0,7,7,0,0,0,2,0,0,2,0,0,2,0,1,5,8,7
1615,"woman sitting on a tall, white wall.",A woman is sitting next to a blue wall.,0,1,0,1,2,1,1,3,0,0,3,1,2,4,5,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1
