index,premise,hypothesis,original_index
1460,Girls performing ballet on an outdoor stage.,There are boys performing in a ballet on a outdoor stage.,4516
1461,Men are playing basketball in front of a large crowd.,A group of men golf in private.,4519
1462,Two hockey teams are shown at the goal where the white team is stopping a goal being made by the blue team.,The blue team made the goal.,4521
1463,A woman in a crowd lifting up her camera to take a photo.,she is eating lunch,4522
1464,"Two older women, one on a bicycle talking in front of a sign in a city with an older gentleman looking on.",The woman are both riding bikes.,4531
1465,The man is walking towards a group of people on a long dirt road.,A woman walks on the road.,4534
1466,A electrician fixing or replacing lights in a office building wearing jeans and a black shirt.,An electrician broke the lights in an office building.,4535
1467,A man in a suit stands in front of a video camera.,The Man is naked in bed.,4541
1468,The young lady with the red shirt is in front of the crowd.,There is a woman in front of a house.,4544
1469,a small tan dog herding some sheep,A dog chases a squirrel.,4546
1470,A lady and her coach practicing boxing in the park.,Two people get into a fight at the park,4547
1471,A little girl holding a camera.,a young girl throws a camera at her mom,4549
1472,A band of five young adult males performing next to a window.,Young men perform on the beach.,4555
1473,A black dog looks up at a white ball that's in midair.,A cat plays with toys.,4556
1474,"People are standing around an American flag that is spread out, facing the wrong direction.",People are standing around eating ice cream.,4557
1475,A woman and child in a strawberry amusement ride.,A child screams as she rides a roller coaster.,4561
1476,"Friends and family relax and sit on lawn chairs next to a fire, at night.",The people are sitting at the bottom of the ocean.,4562
1477,A lady in a sequined hat with red face paint.,A bald man with red face paint.,4566
1478,A group of girls wearing dresses and skirts gathers outside.,The group of girls are inside eating brunch.,4569
1479,A pale tan dog with a ball in its mouth waking in grass.,A whale chases an orca away from her young,4574
1480,"A man in a blue swimsuit and a red beanie kneels in the wet sand on the edge of a beach, making a sand castle that is as tall as he is when he is kneeling.",A man is in a snowstorm,4581
1481,A skinny brown dog walks across a large piece of fallen tree.,A cat lickes cream off his owner's plate.,4582
1482,Two little kids are walking in heavy winter coats down a sidewalk.,the kids are warm and cozy tucked in bed for the night,4598
1483,A man with a beard holding an infant,The baby is crawling.,4600
1484,An asian man is wearing a kimono while practicing his martial arts with a fellow colleague.,Nobody is practicing,4602
1485,A man is standing on top of a tall building that overlooks the city.,A man is sitting in his house.,4603
1486,A small dog running on a beach.,A St. Bernard is flying near the ocean.,4610
1487,two young girls fly a kite.,One lonely teen girl plays with a puppet.,4612
1488,A man is slicing tomatoes on a cutting board on top of a table.,A man is slicing ham.,4615
1489,A middle-aged African-American man wearing a baseball cap and an unbuttoned blue and white plaid shirt was leaning on something near a street.,The middle-aged man was standing straight with his hands in his pockets.,4616
1490,An Asian woman is brushing her teeth in front of a mirror.,a woman eating chocolate,4617
1491,Five white dogs with muzzles are running towards the camera.,Dogs are sleeping,4618
1492,A artist painting the wall covered in bamboo.,a hooligan graffitis a wall,4622
1493,"A woman wearing a white shirt, tan pants, and boots is standing beside a vendor cart that contains various beverages.",The woman is sleeping in her bedroom.,4623
1494,A man wearing a green t-shirt sits with his legs on a ledge and talks on the phone.,A woman calls her mother.,4624
1495,"A man, wearing a short pink skirt, long striped socks, a pink tank top, and a hairnet, is juggling knives to the amusement of onlookers.",Preparing for church,4625
1496,A smiling child sitting in a restaurant at the table.,A grumpy child throws a toy across the room.,4630
1497,A man in a yellow shirt is trying to perform a trick on a bicycle.,A man driving a car down a dirt road.,4637
1498,A man in a red safety hat stands in an orange lift while placing a giant arm on a statue.,A man is painting a picture.,4638
1499,"Little boy in a black hockey sweater, racking in a dirt yard.",The boy is sitting at his laptop.,4639
1500,A woman in a multicolored shirt makes a hammock.,The old man sat on the boat.,4641
1501,A man wearing glasses holds a flip phone in his hand while a woman wearing earrings stands behind him.,The woman is standing far away from the man.,4645
1502,A man wearing a blue uniform working on mechanics.,A man is ballroom dancing.,4649
1503,A brown dog has a white toy in its mouth.,A cat with its tail under a rocking chair.,4656
1504,Person is carrying a large plank near a body of water while the sun is low in the sky.,A person is laying down watching the sun set.,4661
1505,A brown boat is packed with goods and people.,A car is full of goods.,4665
1506,The little girl with the white hat and white shirt is painting.,The hat is red.,4671
1507,A man playing a plastic flute while a seagull looks on.,"A man practices the bagpipes on the beach, scattering a flock of seagulls with the awful noise.",4675
1508,Two children dressed in red looking at a red train engine,children at home asleep,4680
1509,A boy wearing a helmet on a bicycle in a wooded area.,A boy burning ants with his magnifying glass.,4688
1510,An individual in black and white clothing and a mask is in the foreground of a group of children.,Nobody is wearing a mask.,4692
1511,a street vendor serving food to his customers.,The street vendor is selling balloons.,4695
1512,Woman trying to punch man.,A woman hugging her child.,4696
1513,Two children jump up and down in a water puddle.,The children have not a drop of water on them.,4702
1514,A married couple walk up flights of old stone stairs.,They are going down to the basement.,4705
1515,A brown and white dog is jumping high and catching a blue ball.,The dogs are both black.,4706
1516,"A woman, in an apron, is standing over her sink.",A woman is sitting down knitting in her kitchen,4707
1517,A boy windsurfs in a wetsuit while giving a thumbs up sign.,A man in a suit is giving a presentation.,4708
1518,A man watching as one woman in a brown coat is talking to another woman in a gray coat.,Two women sunbathe on the beach,4710
1519,Two Islamic women are making purchases at a large warehouse.,Two women are made from stone.,4712
1520,A man riding a horse and leading other horses through beautiful scenery.,a woman riding a man,4713
1521,A man smiling with a helmet on his head.,A man is frowning.,4718
1522,A man is seemingly running with only one snow ski on.,A lady skis effortlessly.,4720
1523,A couple kissing on the train station platform.,A couple is riding on the train together.,4722
1524,A chef in a white uniform mixes popcorn with a large wooden utensil.,A chef is preparing a fresh squid risotto.,4723
1525,A baby girl in a light blue and pink dress leaning on a stone platform outdoors.,The girl is sleeping inside.,4724
1526,A woman wearing a red coat begins to take a picture.,The woman is throwing pebbles into the water.,4726
1527,A girl is doing a trick on a blue trampoline and is in the air.,A girl goes for a run with her dog in the park.,4728
1528,a young man with a black striped shirt on skateboarding on a wall.,A young man with a blue shirt on is sitting by the wall.,4730
1529,A boy is standing next to a car in front of a clothesline.,The kid is in a movie theater.,4737
1530,A woman is sitting at a table waiting to tell a customer's fortune.,A skiier crashes into a tree.,4741
1531,A pretty girl is working at a stand on a bright sunny day.,The girl is working on a rainy day.,4744
1532,A young woman with red highlights in her hair is applying eyeshadow with a Q-tip in front of a mirror.,A man is shaving in the mirror.,4745
1533,"An African-American man wearing a purple shirt, white shoes and blue jeans is playing a saxophone while standing inside of a building which has many archways and a red and gray tiled floor.",A man is driving a car.,4746
1534,"A girl with wet hair wearing swim goggles and a striped bathing suit, sitting on an inflatable float in the water.",The girl is inside the trash can.,4747
1535,Two men are singing and playing guitars outside a cement structure with spectators sitting on steps on their left.,Two men are on a train.,4749
1536,A man is outside standing on sand with a bright blue sky around him.,the woman is indoors,4751
1537,Two women reading in the shade.,The women are sleeping on the grass.,4753
1538,"Many people are in the bicycle racing, including one man in a three-wheeled bike.",A bunch of cars race around a track.,4754
1539,"A crowd of children in white shirts, black shorts and white hats jumping rope.",A group of adults playing with a jump rope.,4756
1540,Telephone wires are visible.,The post and its' contents are covered.,4758
1541,"A man wearing a long white robe and a white cap, stands over a group of seated people.",The man was seated at the back of the room,4760
1542,A woman wearing a burgundy shirt and a man wearing black prepare a tray of cups of wine,The woman eats superman's cloak,4767
1543,"Two people in colorful clothes are standing in a field, bent over to look at the ground.",The people are stopped in a parking lot.,4769
1544,"Group of people holding umbrellas, while walking in the rain.",The group of people are outside on a sunny day.,4776
1545,A man in a hat is steering a boat while a passenger reads the paper.,A passenger assists a man in steering a boat.,4777
1546,Gold and white dog catching a tennis ball in its mouth.,A dog drinking from a river.,4778
1547,A baseball player is on the field in fronmt of an audience.,Fans crowd around the player to get his autograph.,4779
1548,Two men with no shirts are on a rooftop.,A young lady is vaccuuming the carpet indoors.,4780
1549,"A balding man in a pink shirt who is holding a basket is waiting in a line, outside of an establishment.",A man is eating pudding at home.,4786
1550,Old woman missing teeth stands with metal object in hand.,The young man is playing basketball.,4788
1551,its a distorted lens (almost fish eye) of a teenage boy skateboarding on a concrete block.,The boy is practicing the piano in the living room.,4790
1552,"Two young boys with no shirt on, wearing shorts, and blue Crocs on a rock.",Two boys are in a rock.,4796
1553,Several children standing in front of a building.,A couple of children are in a ball pit at the park.,4799
1554,Two men on a motorcycle with buckets and canisters.,The men are riding a camel.,4801
1555,Two motorcyclist racing on an inclined track.,Two motorcyclists are standing near their bikes.,4807
1556,"Two guys working out on a heavy bag, one is wearing a white shirt and the other a gray shirt.",Nobody is working out,4808
1557,A young man in a red shirt dries a white car with two cloths.,The man in the red shirt is driving a car on the highway.,4809
1558,A man kisses a bride as they walk down the street.,A bride tried to eat her husband.,4810
1559,A mountaineer sits in the snow in front of a yellow tent under clear blue sky.,a guy has a blue tent.,4815
1560,A man is putting up a poster in front of a shop.,The man is indoors.,4822
1561,Three young children are covered in foam.,A horse is walking near a school house.,4823
1562,A white and black bird stretches its wings in midair.,A multi colored bird is swimming in the lake.,4825
1563,A brown and white dog is running.,A brown and white dog is sleeping.,4826
1564,Two men in black shirts play Guitar Hero.,a couple of guys are playing outdoors,4828
1565,A skateboarder jumping on a graffiti-covered ramp.,the dog eats shrimp,4829
1566,Two young girls are building wooden toys at a table.,Three boys are in a field kicking a ball.,4834
1567,A group of people talking and one man is looking at his laptop.,"The group are sitting quietly, reflecting on something that just happened.",4836
1568,A young Asian man sits behind a set chessboard waiting for the other player to arrive.,A young man is on Mars.,4839
1569,A person is jumping using rollerblades.,The person is riding a horse.,4840
1570,A skateboarder jumps off his skateboard in midair in hopes of landing back on it.,Girl jumps off bike to perform tricks,4843
1571,Someone is riding a motorcycle down a racetrack during daylight hours.,Someone is riding a bike at night.,4844
1572,Young boy dressed in green holds baby goat in arms.,A boy is holding a baby deer.,4846
1573,Men are standing around looking at a red and white race car.,A group of men and women chat over afternoon tea.,4848
1574,A young man with a red uniform on practicing his soccer kick.,A young woman is practicing her basketball skills,4853
1575,Two female cyclists kissing each other.,A man is reading a book.,4855
1576,what appears to be a group of men removing ice from a barrel.,A woman does a keg stand.,4860
1577,A dog is going through a slalom style obstacle course.,The dog is sleeping.,4865
1578,A young girl dances while the band plays.,a dog is chasing his tail.,4867
1579,The couple is sitting near the water in lawn chairs.,People are walking on the grass.,4869
1580,One of the members of KISS playing a white electric guitar in front of a black background.,The background was white.,4870
1581,A boy doing a back flip into a swimming pool.,A boy sleeps in his bed.,4872
1582,A young boy sits next to a wind sculpture.,A boy sits next to a statue of a dog.,4873
1583,Man sitting inside of a van looking out the window.,a woman looks out a window,4874
1584,"In the background, there are 3 people on the shore among several canoes, and the young man in the foreground is paddling through the water, while wearing a life jacket and smiling.",A group of people white water rafts down a raging river.,4877
1585,One dog biting at another dog's face in a grassy field.,Two dogs are cuddling each other in a grass field.,4879
1586,"Two dark-haired people are seated on a bench reading magazines, and looking around.",two people are dancing,4883
1587,Some men wearing formal clothes stand around a wedding cake.,the women are by the cake,4884
1588,There is a blond female office and a male brown headed officer standing in front of a pole talking.,The two officers are putting a suspect in their squad car.,4886
1589,A man in blue pants is jumping while band plays music.,A man plays world of warcraft in silence,4900
1590,Two little dogs are lying on the green grass and a larger dog looks down on them.,"A trio of alley cats is lined up along the fence, yowling at the moon.",4901
1591,A slim woman is walking a wet street holding a red umbrella.,A woman jogs a street with umbrellas.,4903
1592,A child plays with a toy on a playground.,a man is at a playground,4904
1593,"A man is holding a large, water-spraying hose while another man watches.",A man is writing a letter alone.,4909
1594,Two people standing on the curve looking at people run up the street.,Two people sipping tea on a couch.,4910
1595,A boy wearing a knit cap is laying the grass.,the boy is running and playing,4911
1596,A dog is jumping over a hurdle.,The dog is sitting under a tree.,4913
1597,A black dog running in grass.,The black dog is taking a bath.,4919
1598,Two policemen in yellow and black uniforms are riding bikes.,Policemen relaxing in a restaurant.,4933
1599,A female dressed in a peace-sign patterned coat and goggles is standing outside in the snow.,The girl is playing a computer game on the couch.,4935
1600,"A child in a blue shirt sitting on a forest floor, looking through binoculars.",A child is in a red shirt,4936
1601,A woman in a black long-sleeve shirt runs a fruit and vegetable stand.,The woman is running a magazine stand.,4937
1602,There is staging and men working on platform 2 at the Burnt Oak underground stop.,There is staging and men working on their autobiographies.,4939
1603,Two young boys are climbing over the seat in a vehicle.,Two boys standing near a car,4944
1604,Three policemen are on horses.,The men are sitting on a chair.,4945
1605,A man standing on scaffolding next to a white ladder and a burning bin.,A woman combing her hair.,4947
1606,Adult man holds toddler.,A man carries groceries.,4948
1607,Musicians playing their instruments at a table.,The musicians did not have their instruments.,4960
1608,Dark nightclub with chairs.,The bouncers escorted a belligerent patron from the bar.,4962
1609,Kids are driving toy carts around a track with the assistance of parents.,Parents are ignoring the kids.,4963
1610,A woman is sitting at a table with raw meat.,The woman gets ready to eat her cooked steak dinner.,4964
1611,Some people are playing in a field next to a net.,The people are dead.,4966
1612,A child is trying to keep from falling off of a sheep in the rodeo ring.,The child is riding a horse.,4969
1613,Four school aged kids are playing dodgeball in the gym,Kids are playing scocer.,4976
1614,Two children in their pajamas one has a mask and hairnet like a surgical nurse and is standing over the older child who is laying down on the wood floor.,the children are wearing business suits,4977
1615,"woman sitting on a tall, white wall.",A woman is sitting next to a blue wall.,4979
1616,A young smiling girl wearing yellow in a crowd.,a girl sleeping on a couch,4980
1617,A blond woman in a black dress is conversing with a woman who is wearing a red tie.,Some people are on Mars.,4984
1618,This image with chairs is very blurry.,This image with tables is very blurry.,4993
1619,Factory workers are steadily completing their jobs.,Factory workers are clocking out for the day.,4995
1620,Shirtless men hike through a canyon.,Man sits near a canyon.,5001
1621,A woman wears a red dress and a black mask while people dance behind her.,A woman with her face painted like a clown dances in a T-shirt and jeans.,5006
1622,A woman dressed in all white and heels is walking in front of a wall with a mural on it.,A woman is sitting on a wall.,5010
1623,A couple with sunglasses are laying on the beach.,A couple are eating dinner at a restaurant.,5012
1624,Two boys are fooling around with pillows.,There is only one boy.,5014
1625,"Two men, without any shirts on, are playing table tennis",A child is climbing a tree.,5019
1626,A young boy is asleep at a table with his face on a plate.,The boy is laying in his bed.,5026
1627,The man is shooting video of another writing on a pole.,There men are playing baseball.,5028
1628,A large crowd standing in front of a very large painting.,A crowd has set fire to a painting and run away.,5031
1629,A girl with long pigtails and a barbie bag touching the orange poles along with other little girls wearing a white shirt and blue shorts.,Girls are sitting in a library holding books.,5038
1630,"Asian boy in orange, white, and black coat celebrating St. Patrick's day with a soda and green balloon.",A boy dressed in all black is hanging from a jungle gym.,5039
1631,A person crouches over bags of supplies on the street in front of a steel door.,The person is kneeling to pray in church.,5040
1632,Three females jog together along a crowded stone sidewalk.,The females are on fire.,5042
1633,A fat bald man is sleeping on the shoulder of another fat bald man.,A man is sleeping on the head of a woman.,5046
1634,Two men in long-sleeved clothing are playing Frisbee in a park.,The men are swimming across the ocean.,5047
1635,A group of people are watching a statue being erected.,A group of people watching the Yankees play baseball,5050
1636,A woman is sitting on some steps and relaxing with her eyes closed.,She is lying on the massage table,5051
1637,Man in an orange shirt with tattoos walking two large poodles.,There is a man sitting on his couch.,5052
1638,One woman sits on a outcropping of rock while one takes a picture and the third looks down.,All of the women are taking pictures.,5055
1639,A hand holding a nail file files someone's nail over a peach towel.,Someone is breaking nails.,5057
1640,A man in a black T-shirt sings while his band plays.,A woman plays the cello for a small crowd.,5058
1641,Two fashionably dressed young ladies sit back to back on a wall in a city park watching people around them.,The women are wearing rags.,5061
1642,"Two young ladies, one blond talking on the cellphone, one brunette texting, are walking on the summer street.",Two young ladies are swimming in the ocean.,5064
1643,Old man in wheelchair with a monk in red robes.,the man went skiing,5065
1644,A woman and three children walk on the beach in a line.,There is a group of men playing golf.,5066
1645,Two young girls in a lake talking to each other.,Girls talking in a pool.,5067
1646,A family portrait taken underneath a white canopy.,The family hasn't seen each other for decades.,5068
1647,A worker in a bright orange uniform is cleaning up the mess on the street while a small boy in red pants walks by.,A worker is napping indoors,5070
1648,A boy wearing sunglasses on his forehead and a woman wearing sunglasses on her eyes are staring.,The brother and sister dance on the sun.,5072
1649,A skier in a bright green jacket sliding downhill.,This person is having a cake at his moms house,5075
1650,Two boys prepare a small sailboat as two girls watch them from the beach.,Two girls prepare a small sailboat as two boys watch them from the beach.,5076
1651,Man sitting on a chair in the fields carving a statute supported by a tree trunk.,A man is drawing a picture supported by a tree trunk.,5077
1652,"Two men, wearing hard hats and blue and yellow coats stand in front of a large machine and smile.",The men are practicing interpretive dance.,5078
1653,A picture of a guy walking some dogs.,The guy is running away from a pack of dogs.,5081
1654,"Two men stand in a basement workshop, looking at each other.",A man with pimples singing.,5084
1655,Two male tennis players conversing across the net on an outdoor court,two men are hiking in the snow,5085
1656,A surfer on a wave with two others in the background.,A surfer is drowning,5088
1657,"From inside building, view of man washing window with tool.",A man is destroying a city.,5090
1658,A man is taking a picture at a golf course.,A man is sleeping on the golf course.,5106
1659,Boats docked at a pier which has three men and a lone palm tree.,Three boys are taking their boat out on the water.,5108
1660,A bike riding couple dressed in bike gear and helmets take a minute to site on a bench to talk and park their bikes.,A couple is watching tv,5109
1661,A man with close-cut hair wearing a plaid shirt is pointing to a screen that has words projected on it.,The shirt is solid color,5110
1662,A snowboarder is in the air.,A person on a snowboard is on the ground.,5121
1663,"Two women on the beach, one with a violin and the other is dancing.",Two women swimming in the ocean.,5129
1664,A group of security persons dressed in black uniforms gather on a downtown street.,Nobody has a uniform,5130
1665,A man is surfing in a bodysuit in beautiful blue water.,A man in a business suit is heading to a board meeting.,5131
1666,A bald man with a beard plays the accordion in front of green doors,A man with a beard chops down a tree.,5132
1667,A gray train with purple and blue stripes moves down a rusty track through trees.,The train is plain white.,5133
1668,A group of people in their kayaks preparing to race.,The socks are wet and running low,5134
1669,Man in scrubs yawns next to a medical device.,A man bursts into laughter.,5135
1670,A man on bicycle riding down a rocky hill.,A man climbs a rocky hill.,5136
1671,Men in construction uniforms are standing on iron girders.,The men are sitting.,5143
1672,A man pulling up a child with a rope,The child is pulling the man up.,5148
1673,Person holding a guitar with religious images and reflective stickers on the front.,The atheist loves his violin.,5154
1674,Two men in business attire standing behind a camera.,Two shirtless men are at the golf course.,5159
1675,A shirtless child plays with an adult indoors.,The child is outside.,5161
1676,A person in a blue shirt and jeans leans on a wooden fence while looking out through the trees at a landscape.,"The man is standing in a rainstorm, hardly able to see his hand in front of his face",5163
1677,Two young men in bathing suits standing next to fence on the beach.,Two boys are playing baseball.,5166
1678,The shadows of trees are projected onto the field by the sun.,The moon light is shining down.,5167
1679,A female contortionist practices her solo performance on stage.,A female contortionist is asleep in bed.,5169
1680,A man and woman talking to each other in the daytime.,A man and woman talking at night time.,5170
1681,Three people are standing in the snow preparing an ice fishing boat.,A group of people are sun tanning on the beach.,5173
1682,A gentleman with two milk jugs.,The gentleman only has one milk jug.,5180
1683,"An angry brown horse seems to be trying to buck off the male rider in tan jeans and blue shirt and black hat, while a photographer shoots a picture.",The horse is happy.,5182
1684,A young woman in a red and white striped shirt holding her child in a similar outfit as she smiles for a picture.,The young is there a plain white shirt,5183
1685,a child on a spinning wheel holding on for dear life,A baby is trying to crawl through a stationary wheel.,5185
1686,A man in a colorful yellow and green garment stretches out his right arm while standing near a plate of glass embedded into the ground.,The man is wearing all black.,5186
1687,A crowd of young people dance and celebrate outside of a brick building while people behind a railing watch.,One guy dances in the rain with a radio on his shoulder.,5188
1688,Workers walk along railroad tracks entering a tunnel.,Workers are emerging from a railroad tunnel.,5197
1689,Visitors pose for a picture at the 2008 Olympics in Beijing.,People sleeping on the beach.,5200
1690,Several cyclists race a course lines with yellow flags as an observer holds a camera.,Men are competing in curling at the Olympics.,5203
1691,A man holding a video camera standing next to a woman by water.,The man is holding a microphone as he introduces the woman standing by the water.,5207
1692,Two men are kicking soccer balls on a beach.,There are two women kicking soccer balls.,5216
1693,A group of old men playing chess in a pool.,The men are playing checkers in the shade at the park.,5222
1694,Male guitar player on stage in a black shirt.,Snidely Whiplash is a philanthropist.,5226
1695,A man stands beside a projector in a dimly lit conference room while some people who are wearing dress shirts are talking.,the man is at home sleeping,5227
1696,A little girl in red is swinging on her stomach on a playground swing.,A girl is laying on the moon.,5230
1697,Two people are racing with wheelchairs in a competition.,Three people ride bikes up a hill.,5236
1698,"A man wearing a orange work vest is using a device to work on railing for public transit, in the city.",the man painted by the river,5249
1699,Two professional businessmen having a conversation.,Neither man speaks the same language as the other.,5252
1700,A man standing on a bridge under a crane.,A man not standing on a bridge,5255
1701,A dog playing in the grass.,A pooch sniffs the food in his dish.,5260
1702,Four Asian toddlers nap on a floor.,Four Mexican toddlers nap on a floor.,5262
1703,This is people doing laundry.,The people are throwing around detergent in the laundromat.,5263
1704,A small child in gray and orange winks their eye while holding silverware.,A small child with both eyes closed.,5265
1705,A woman rides a red bicycle along a river while wearing a helmet.,The woman is riding an exercise bike at the gym.,5268
1706,A small whole is being drilled into a white piece of plastic while being held down securely on a workbench.,A hole is being drilled in a wooden keg.,5269
1707,"A football player wearing the number ""8"" looks at his teammate in the distance.",The players are tennis players,5272
1708,A dark-skinned man handing someone his phone.,A man steals a phone from someone.,5273
1709,Four young ladies are talking together on the sidewalk in front of a shop.,A baby crawls.,5275
1710,Several men are sitting around a dinner table having separate conversations.,Several women are eating on a roof.,5276
1711,A rolling pin flattening yellowed dough.,Steaks are cooking on a grill.,5277
1712,"A group of six women, with children sitting on the floor behind them, are at work in individual work spaces with privacy dividers between them.",A group of people are at home.,5283
1713,A man with a white beard is wearing an apron and in the kitchen.,The man is at the barber having a shave.,5287
1714,A woman with a chain around her neck leans before a small girl playing a game of Jenga while others watch on.,The woman is playing a game of Monopoly.,5291
1715,A couple cuts a wedding cake.,A bride and groom are throwing cake at each other's faces.,5294
1716,A dog running with something in its mouth,A dog is currently sleeping,5296
1717,"On a beautiful day, people walk past the church.",The men were engaged in a bar fight.,5298
1718,An elderly woman pushing a stroller,The elderly woman is dead.,5304
1719,A man wearing a red jacket over a black shirt smokes two cigarettes at once.,The man is throwing away the cigarette.,5313
1720,Blue scooter with white helmet and two women sitting on bench looking at phone next to small shop.,The women are standing next to a park.,5314
1721,"A man is standing on his head, in midair on a giant flag while many onlookers watch and hoist him up.",The man is sitting on a couch.,5324
1722,A boy in a white shirt and yellow shorts walks in a crosswalk at night.,A boy walking during the day,5325
1723,A man in a brown hat walks down a sidewalk.,the man is going for a jog,5328
1724,"Four men in green at a soccer goal post trying to score, while 3 men in blue try to prevent it.",The soccer players are about to score a touchdown,5332
1725,Four people racing in kayaks go over whitewater in a race.,Four people swim in a calm stream.,5334
1726,A musician sitting cross legged in front of a microphone.,The musician swimming in the ocean.,5337
1727,Young girl in striped bathing suit sitting in a watery hole at a beach.,A young girl is ice skating.,5341
1728,"A person with red-hair and a black shirt is standing outside, talking and gesturing with hands.",A swimmer swims in the pool.,5342
1729,Two elderly females sitting on a white bench amongst trees.,A man applies sun tan lotion to his arms.,5344
1730,Someone is scaling a rock formation with trees in the background.,Someone is walking on the beach.,5345
1731,a guy shaving his facial hair in the restroom.,The man is in his living room.,5349
1732,A group of people sit watching an event behind a Tim hortons sign.,There is a group of people standing outdoors,5351
1733,A man is eating an ice cream cone in front of a closed shop window.,A person walking into a shop.,5358
1734,Older woman places a wok on a fire stove.,An older woman washing dishes.,5359
1735,A race car is smoking on the track.,The race car is parked in a garage.,5362
1736,A camera team wearing jackets stands in front of a white building.,The building is painted gray.,5365
1737,A man is posing for a pic in a museum.,The man is posing for a pic in an aquarium.,5368
1738,A man is removing a garter for a lady.,The man is sleeping and the woman is reading a book.,5376
1739,A group of people ordering sweets at a fair in the evening.,Children are eating apples at their school.,5377
1740,A woman in a light blue shirt with white sleeves cuts a watermelon.,A woman is cutting a potato while wearing a red tank top with no sleeves.,5385
1741,A man behind an old fashioned bank teller desk holds a pencil and smiles.,An old man sets a pencil on a counter.,5389
1742,Many guards are standing in front of the starting line of a race.,The guards are sleeping in a bell tower.,5391
1743,"A little girl in a red shirt is suspended in midair on a contraption, as a man wearing white shorts looks up at her.",A man and girl are swimming in the ocean,5394
1744,An elderly man is sitting on the steps with a bag.,A man is sleeping on a bench.,5395
1745,"A dark-haired woman wearing a brown jacket and fatigue bottoms and a balding man wearing a green sweater and blue jeans with a fishing pole, stand at the foot of the surf.",A person without a pole.,5399
1746,Two men holding an oversized check from Bollywood Dreams for Unicef and smiling.,The men are swimming across the ocean.,5403
1747,Some children are playing in a woodland stream.,Children are sitting down.,5406
1748,A smiling man holds a small child wearing pink and red.,The man is hugging his dog.,5407
1749,Two women sitting on a bench eating vanilla ice cream.,Two men are eating peanuts.,5408
1750,A brown dog leaps in the air over colorful leafs,The brown dog is eating in the leafs.,5409
1751,A pastor on a cellphone in front of a stone building with five officers wearing green uniforms; two are standing while the others are seated.,The man is indoors.,5412
1752,"An older white-haired woman in a blue jacket, brown boots, with a ring on her finger looks at samples of a drink next to a sign in a different language.",the woman is nude by the beach,5415
1753,two beautiful women stand next to a fountain which is giving off a light mist.,An old woman feed the pigeons in town.,5416
1754,Two police officers are standing before a man in a blue sweatshirt.,A man is wearing a purple sweatshirt.,5418
1755,A woman walking down the street.,A man does dishes.,5420
1756,"On a patio preparing for a grill-out, the man in the welding mask stirs curiosity from the little girl.",There is a man baking cookies.,5421
1757,A man is pushing his blue painted snack cart through the street.,The man is selling hats.,5426
1758,A man is walking in a bright yellow jacket.,He sat at the computer.,5430
1759,Two people observe a man constructing a deck by a body of water.,3 people build a deck together.,5431
1760,A man talks animatedly to a person in an orangutan suit.,A man is ignoring a person.,5434
1761,A man makes a goofy face underwater in a pool while swimming.,the man is at home sleeping,5435
1762,A small white dog pulls a large stick out of the water.,The dog is black and weighs 100 pounds.,5437
1763,A person is suspended by cables from a high tower made of metal scaffolding.,A man is falling from a high tower.,5440
1764,People on the streets attending rally,The people are now leaving the rally into their cars.,5442
1765,A little boy is holding a blue ball in the yard.,A person walks inside the room.,5445
1766,A baby boy in a blue and white striped shirt is sitting on his mother's shoulders.,The baby is without his mother.,5447
1767,One brown and one mostly black dog are either playing or fighting.,one dog sat alone,5450
1768,A man wearing all black writing on a piece of paper.,a man doesn't know how to write,5452
1769,A young woman and baby in red coats with a pink bicycle.,A father and his daughter are riding a pink bicycle.,5455
1770,A man is playing shot put with a skirt.,A woman throws a discus.,5464
1771,a group of greyhound dogs in a race leaving the gate,The dogs are only put here for human's enjoyment.,5466
1772,A woman sitting on a wall on a bright summer day.,A woman is standing near a fence.,5469
1773,The fireman use heavy duty machinery to make putting out fires easier.,A kid sits at his desk.,5472
1774,A young girl and older person are sitting near the top of a rock formation.,A young boy and older person are sitting near the top of a rock formation.,5475
1775,Two people are kissing with old buildings on either side of them and people walking up in the background.,Two people hug for a photo.,5477
1776,"Two young children, one in an inflatable life vest, swim in a pool.",Two young children sit beside the pool wishing the rain would stop.,5478
1777,A man is riding a tall unicycle and juggling pins simultaneously while many audience members watch and applaud.,A man is riding his bike in a race.,5480
1778,A gentleman is operating a machine while working in a factory.,a gentleman is drinking in the bar,5482
1779,An older man working with his hands in a workshop.,A young man is working with his hands in his father's workshop.,5485
1780,a smiling baby is sitting in a white baby bouncer surrounded by toys.,A crying baby wants to get out of the bouncer.,5494
1781,A marathon biker with the number 701 smiles while standing and holding his bike up.,A marathon biker with the number 701 is crying in pain and holding his bike up,5495
1782,A lady with her son attached to her back,The lady is pushing her son in a stroller.,5497
1783,A woman in a green skirt is sitting on a bench outside.,The woman in black is sitting on a bench inside.,5498
1784,A construction worker wearing bright orange is shoveling something.,A child at recess at school.,5499
1785,An older man stands in front of a vitamin store.,An older man is taking a shower.,5501
1786,A toddler in a white hooded jacket holds on to the wall.,A man in a white hooded jacket holds on to the wall.,5503
1787,A man painted orange in orange pants is standing with a person painted red with black and gray wings.,The man was watching television.,5504
1788,Two kids in a rubber boat.,Two children are eating lunch,5507
1789,"A small South American child running on a cobblestone pathway, by a blue wall with a door.",An old man sits along a pathway leaning up against a wall.,5508
